U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0,119,1,0,15,0,0
-0.15858,120,1,0.125,15,0.125,0.0009375
-0.31783,360,1,0.25001,15,0.25,0.001875
-0.40621,600,1,0.37501,15,0.375,0.0028125
-0.43917,841,1,0.50001,15,0.5,0.00375
-0.44648,1081,1,0.62502,15,0.625,0.0046875
-0.44761,1321,1,0.75002,15,0.75,0.005625
-0.45066,1561,1,0.87502,15,0.875,0.0065625
-0.45718,1802,1,1,15,1,0.0075
-0.46637,2042,1,1.125,15,1.125,0.0084375
-0.47699,2282,1,1.25,15,1.25,0.009375
-0.48828,2522,1,1.375,15,1.375,0.010313
-0.49984,2763,1,1.5,15,1.5,0.01125
-0.51143,3003,1,1.625,15,1.625,0.012188
-0.52285,3243,1,1.75,15,1.75,0.013125
-0.53395,3483,1,1.8751,15,1.875,0.014063
-0.54447,3724,1,2.0001,15,2,0.015
-0.5542,3964,1,2.1251,15,2.125,0.015937
-0.56297,4204,1,2.2501,15,2.25,0.016875
-0.57061,4444,1,2.3751,15,2.375,0.017813
-0.57674,4685,1,2.5001,15,2.5,0.01875
-0.5813,4925,1,2.6251,15,2.625,0.019687
-0.58418,5165,1,2.7501,15,2.75,0.020625
-0.5852,5406,1,2.8751,15,2.875,0.021563
-0.58404,5646,1,3.0001,15,3,0.0225
-0.58086,5886,1,3.1251,15,3.125,0.023438
-0.57558,6126,1,3.2501,15,3.25,0.024375
-0.56802,6367,1,3.3751,15,3.375,0.025313
-0.55819,6607,1,3.5001,15,3.5,0.02625
-0.54628,6847,1,3.6251,15,3.625,0.027188
-0.53232,7087,1,3.7501,15,3.75,0.028125
-0.51615,7328,1,3.8751,15,3.875,0.029063
-0.49816,7568,1,4.0001,15,4,0.03
-0.47848,7808,1,4.1251,15,4.125,0.030938
-0.45718,8049,1,4.2501,15,4.25,0.031875
-0.43447,8289,1,4.3751,15,4.375,0.032813
-0.41065,8529,1,4.5001,15,4.5,0.03375
-0.38592,8770,1,4.6251,15,4.625,0.034688
-0.36044,9010,1,4.7501,15,4.75,0.035625
-0.33454,9250,1,4.8751,15,4.875,0.036563
-0.30844,9490,1,5.0001,15,5,0.0375
-0.28239,9731,1,5.1251,15,5.125,0.038438
-0.25662,9971,1,5.2501,15,5.25,0.039375
-0.23135,10211,1,5.3752,15,5.375,0.040313
-0.20679,10452,1,5.5002,15,5.5,0.04125
-0.18318,10692,1,5.6252,15,5.625,0.042188
-0.16061,10932,1,5.7502,15,5.75,0.043125
-0.13923,11173,1,5.8752,15,5.875,0.044063
-0.1193,11413,1,6.0002,15,6,0.045
-0.10076,11653,1,6.1252,15,6.125,0.045938
-0.083671,11893,1,6.2502,15,6.25,0.046875
-0.068238,12134,1,6.3752,15,6.375,0.047813
-0.054337,12374,1,6.5002,15,6.5,0.04875
-0.041929,12614,1,6.6252,15,6.625,0.049688
-0.031115,12855,1,6.7502,15,6.75,0.050625
-0.021771,13095,1,6.8752,15,6.875,0.051563
-0.013771,13335,1,7.0002,15,7,0.0525
-0.0071224,13576,1,7.1252,15,7.125,0.053438
-0.0017132,13816,1,7.2502,15,7.25,0.054375
0.0026271,14056,1,7.3752,15,7.375,0.055313
0.0059454,14297,1,7.5002,15,7.5,0.05625
0.0083418,14537,1,7.6252,15,7.625,0.057188
0.0099816,14777,1,7.7502,15,7.75,0.058125
0.010927,15018,1,7.8752,15,7.875,0.059063
0.011259,15258,1,8.0002,15,8,0.06
0.011103,15498,1,8.1252,15,8.125,0.060938
0.010506,15739,1,8.2502,15,8.25,0.061875
0.0095176,15979,1,8.3752,15,8.375,0.062812
0.0082095,16219,1,8.5002,15,8.5,0.06375
0.0065946,16460,1,8.6252,15,8.625,0.064688
0.0046846,16700,1,8.7502,15,8.75,0.065625
0.0025023,16940,1,8.8752,15,8.875,0.066563
2.15e-05,17181,1,9.0003,15,9,0.0675
-0.0027768,17421,1,9.1253,15,9.125,0.068438
-0.0058999,17661,1,9.2503,15,9.25,0.069375
-0.0094057,17902,1,9.3753,15,9.375,0.070312
-0.013316,18142,1,9.5003,15,9.5,0.07125
-0.017642,18382,1,9.6253,15,9.625,0.072188
-0.022451,18623,1,9.7503,15,9.75,0.073125
-0.027723,18863,1,9.8753,15,9.875,0.074063
-0.033443,19103,1,10,15,10,0.075
-0.039642,19344,1,10.125,15,10.125,0.075938
-0.046216,19584,1,10.25,15,10.25,0.076875
-0.053098,19825,1,10.375,15,10.375,0.077813
-0.060185,20065,1,10.5,15,10.5,0.07875
-0.067306,20305,1,10.625,15,10.625,0.079688
-0.074268,20546,1,10.75,15,10.75,0.080625
-0.080823,20786,1,10.875,15,10.875,0.081563
-0.086726,21026,1,11,15,11,0.0825
-0.091568,21267,1,11.125,15,11.125,0.083438
-0.095068,21507,1,11.25,15,11.25,0.084375
-0.096854,21748,1,11.375,15,11.375,0.085313
-0.096362,21988,1,11.5,15,11.5,0.08625
-0.093401,22228,1,11.625,15,11.625,0.087188
-0.087377,22469,1,11.75,15,11.75,0.088125
-0.077957,22709,1,11.875,15,11.875,0.089063
-0.064998,22949,1,12,15,12,0.09
-0.047723,23190,1,12.125,15,12.125,0.090938
-0.026433,23430,1,12.25,15,12.25,0.091875
-0.00077536,23671,1,12.375,15,12.375,0.092813
0.0293,23911,1,12.5,15,12.5,0.09375
0.063378,24151,1,12.625,15,12.625,0.094688
0.10171,24392,1,12.75,15,12.75,0.095625
0.14346,24632,1,12.875,15,12.875,0.096563
0.18832,24873,1,13,15,13,0.0975
0.23566,25113,1,13.125,15,13.125,0.098438
0.2846,25354,1,13.25,15,13.25,0.099375
0.33449,25594,1,13.375,15,13.375,0.10031
0.38431,25834,1,13.5,15,13.5,0.10125
0.43312,26075,1,13.625,15,13.625,0.10219
0.48001,26315,1,13.75,15,13.75,0.10313
0.52412,26556,1,13.875,15,13.875,0.10406
